,"BACQUEVILLE","27440","49.3219203458","1.36658657658"
,"BAILLEUL LA VALLEE","27260","49.1971101863","0.431397706561"
,"BALINES","27130","48.7482752525","0.977506777957"
,"BARC","27170","49.0794545996","0.824738866399"
,"LES BAUX STE CROIX","27180","48.9670536048","1.10669165131"
,"BEAUFICEL EN LYONS","27480","49.4044391914","1.52480610334"
,"MESNIL EN OUCHE","27270","49.0090520551","0.696415474297"
,"MESNIL EN OUCHE","27410","49.0090520551","0.696415474297"
,"BEAUMONT LE ROGER","27170","49.0592104532","0.754833574426"
,"BERNIENVILLE","27180","49.0744161962","1.02876644978"
,"LES MONTS DU ROUMOIS","27370","49.2948046774","0.827614672405"
,"BOIS LE ROI","27220","48.8610331627","1.34099240808"
,"BOISNEY","27800","49.1561456712","0.649696309423"
,"BOUCHEVILLIERS","27150","49.3984802284","1.71160727896"
,"GRAND BOURGTHEROULDE","27520","49.2995530921","0.876522751918"
,"GRAND BOURGTHEROULDE","27520","49.2995530921","0.876522751918"
,"BRETEUIL","27160","48.8525387012","0.899890466074"
,"CANAPPEVILLE","27400","49.1572590127","1.08933240354"
,"CAORCHES ST NICOLAS","27300","49.0782233141","0.547592654037"
,"CAPELLE LES GRANDS","27270","49.0486679011","0.472112443094"
,"CHAMBRAY","27120","49.0800044787","1.31942825082"
,"LA CHAPELLE GAUTHIER","27270","48.9851351393","0.463962400697"
,"MARBOIS","27240","48.8910449707","0.93590219795"
,"CLAVILLE","27180","49.0485570128","1.01887133225"
,"COMBON","27170","49.0960144731","0.885456482131"
,"CONCHES EN OUCHE","27190","48.9547259686","0.93199579313"
,"CONTEVILLE","27210","49.4174960871","0.391276015721"
,"COURCELLES SUR SEINE","27940","49.1852202831","1.36612835383"
,"COURTEILLES","27130","48.7385427936","0.999904902723"
,"CRESTOT","27110","49.2039621822","0.969531161079"
,"CRIQUEBEUF LA CAMPAGNE","27110","49.1985839238","0.997594751714"
,"CROSVILLE LA VIEILLE","27110","49.1515342749","0.931538491399"
,"LES DAMPS","27340","49.2941696239","1.17226957611"
,"MESNILS SUR ITON","27240","48.8643668138","1.08042048322"
,"MESNILS SUR ITON","27240","48.8643668138","1.08042048322"
,"MESNILS SUR ITON","27240","48.8643668138","1.08042048322"
,"DARDEZ","27930","49.0839988552","1.20732659473"
,"DAUBEUF LA CAMPAGNE","27110","49.1891854799","1.02944450993"
,"DAUBEUF PRES VATTEVILLE","27430","49.2606303253","1.31083595676"
,"ECAQUELON","27290","49.2887544007","0.716950300267"
,"ECARDENVILLE LA CAMPAGNE","27170","49.1239824474","0.834768267271"
,"VEXIN SUR EPTE","27510","49.1515466021","1.59773112902"
,"VEXIN SUR EPTE","27510","49.1515466021","1.59773112902"
,"VEXIN SUR EPTE","27630","49.1515466021","1.59773112902"
,"VEXIN SUR EPTE","27630","49.1515466021","1.59773112902"
,"VEXIN SUR EPTE","27630","49.1515466021","1.59773112902"
,"VEXIN SUR EPTE","27630","49.1515466021","1.59773112902"
,"EMALLEVILLE","27930","49.1016649726","1.1570133623"
,"EMANVILLE","27190","49.0589220607","0.906701238061"
,"ETURQUERAYE","27350","49.3693948332","0.688772409605"
,"EZY SUR EURE","27530","48.8709806514","1.41262980866"
,"FAVEROLLES LA CAMPAGNE","27190","49.0206303776","0.927054936984"
,"LE FAVRIL","27230","49.1831075532","0.525458384869"
,"LE FIDELAIRE","27190","48.9436797791","0.80246046702"
,"FOLLEVILLE","27230","49.1581049505","0.524835316917"
,"LA FORET DU PARC","27220","48.927613225","1.24035993264"
,"FOUQUEVILLE","27370","49.2221102","0.963471124164"
,"LE PERREY","27680","49.3782168182","0.574020669603"
,"FRANQUEVILLE","27800","49.1730511445","0.68581354676"
,"GASNY","27620","49.1020218463","1.59975187173"
,"LA GOULAFRIERE","27390","48.9480738928","0.432319912039"
,"GRAVIGNY","27930","49.0522263912","1.16057059772"
,"HARDENCOURT COCHEREL","27120","49.0418737569","1.31601000617"
,"HARQUENCY","27700","49.2494239305","1.49992266549"
,"LA HAYE DE ROUTOT","27350","49.4030066708","0.728082467511"
,"LA HAYE ST SYLVESTRE","27330","48.9110081722","0.593509071777"
,"HEUBECOURT HARICOURT","27630","49.1301336149","1.56459912242"
,"HEUDREVILLE EN LIEUVIN","27230","49.1933109292","0.503312662769"
,"HONDOUVILLE","27400","49.1448656783","1.11623535424"
,"HOUVILLE EN VEXIN","27440","49.2999641721","1.35759066784"
,"IVILLE","27110","49.17694671","0.926307699955"
,"LA LANDE ST LEGER","27210","49.2976910975","0.336083900968"
,"LAUNAY","27470","49.1080587131","0.737298458469"
,"LERY","27690","49.2875848843","1.19524982012"
,"LORLEAU","27480","49.4214416378","1.50486927146"
,"LOUYE","27650","48.7969011449","1.31913602258"
,"MEREY","27640","48.9586730122","1.39284165552"
,"MESNIL ROUSSET","27390","48.8934556889","0.557278907345"
,"MESNIL SOUS VIENNE","27150","49.3852334918","1.6675843732"
,"MORAINVILLE JOUVEAUX","27260","49.2227027964","0.443976742663"
,"MOUETTES","27220","48.8886476337","1.36834248344"
,"MOUSSEAUX NEUVILLE","27220","48.90687343","1.33849084974"
,"MUZY","27650","48.7781253842","1.32569756656"
,"NEUILLY","27730","48.9295320189","1.41731024629"
,"LA NOE POULAIN","27560","49.2706730509","0.519567816517"
,"LE VAL DORE","27190","48.9412455696","1.02129449463"
,"PERRIERS SUR ANDELLE","27910","49.4084277874","1.36331833867"
,"LE PLANQUAY","27230","49.0943788554","0.426951723046"
,"PRESSAGNY L ORGUEILLEUX","27510","49.1308034237","1.46515135716"
,"RENNEVILLE","27910","49.3960826717","1.32607128725"
,"ROMILLY LA PUTHENAYE","27170","49.0132474819","0.837767280682"
,"ROUVRAY","27120","49.0668656108","1.33964798484"
,"ST AGNAN DE CERNIERES","27390","48.9501046061","0.531514828879"
,"ST AUBIN SUR GAILLON","27600","49.132834827","1.33624192382"
,"ST BENOIT DES OMBRES","27450","49.2265023608","0.618333897431"
,"ST CHRISTOPHE SUR AVRE","27820","48.6988286398","0.805102409427"
,"LE VAUDREUIL","27100","49.2609960336","1.19894900143"
,"ST DENIS DES MONTS","27520","49.256053123","0.806583378737"
,"ST GERMAIN DES ANGLES","27930","49.0884520129","1.13771355337"
,"ST GERMAIN SUR AVRE","27320","48.7727688563","1.26277953417"
,"ST JULIEN DE LA LIEGUE","27600","49.1401487215","1.28700576113"
,"LA CHAPELLE LONGUEVILLE","27950","49.1061858744","1.4332609397"
,"ST LEGER DU GENNETEY","27520","49.2826233384","0.752219384803"
,"ST MARCEL","27950","49.0915999954","1.43925560775"
,"ST MARDS DE FRESNE","27230","49.0805940442","0.454584726238"
,"LE LESME","27160","48.911287302","0.845987853541"
,"ST MARTIN DU TILLEUL","27300","49.1062640143","0.526574332783"
,"ST MARTIN LA CAMPAGNE","27930","49.0651299646","1.07718638182"
,"ST MARTIN ST FIRMIN","27450","49.2935102103","0.559679927993"
,"STE OPPORTUNE DU BOSC","27110","49.1679377889","0.840374168625"
